id node1;id node2;name node1;name node2;parent id node1;parent id node2;parent name node1;parent name node2;edge confidence;edge weight(med flm)
127;504;rh.caudalmiddlefrontal_11;Right-Putamen;9;37;ctx-rh-caudalmiddlefrontal;Right-Putamen;411;22.239342
127;145;rh.caudalmiddlefrontal_11;rh.precentral_19;9;10;ctx-rh-caudalmiddlefrontal;ctx-rh-precentral;294;18.400002
127;131;rh.caudalmiddlefrontal_11;rh.caudalmiddlefrontal_6;9;9;ctx-rh-caudalmiddlefrontal;ctx-rh-caudalmiddlefrontal;327;18.400001
127;494;rh.caudalmiddlefrontal_11;rh.insula_10;9;34;ctx-rh-caudalmiddlefrontal;ctx-rh-insula;328;17.400008
127;503;rh.caudalmiddlefrontal_11;Right-Caudate;9;36;ctx-rh-caudalmiddlefrontal;Right-Caudate;406;16.949566
959;1013;lh.bankssts_4;Left-Hippocampus;72;81;ctx-lh-bankssts;Left-Hippocampus;356;31.565182
580;1010;lh.rostralmiddlefrontal_3;Left-Putamen;48;78;ctx-lh-rostralmiddlefrontal;Left-Putamen;345;44.074083
194;503;rh.posteriorcingulate_5;Right-Caudate;14;36;ctx-rh-posteriorcingulate;Right-Caudate;363;12.233332
517;1010;lh.lateralorbitofrontal_10;Left-Putamen;42;78;ctx-lh-lateralorbitofrontal;Left-Putamen;396;16.809091
517;521;lh.lateralorbitofrontal_10;lh.lateralorbitofrontal_8;42;42;ctx-lh-lateralorbitofrontal;ctx-lh-lateralorbitofrontal;332;13.955002
454;507;rh.bankssts_2;Right-Hippocampus;31;40;ctx-rh-bankssts;Right-Hippocampus;317;24.400003
634;637;lh.caudalmiddlefrontal_3;lh.caudalmiddlefrontal_4;50;50;ctx-lh-caudalmiddlefrontal;ctx-lh-caudalmiddlefrontal;323;13.559999
578;1010;lh.rostralmiddlefrontal_7;Left-Putamen;48;78;ctx-lh-rostralmiddlefrontal;Left-Putamen;336;41.087879
695;1009;lh.caudalanteriorcingulate_1;Left-Caudate;54;77;ctx-lh-caudalanteriorcingulate;Left-Caudate;367;13.266667
29;503;rh.medialorbitofrontal_8;Right-Caudate;4;36;ctx-rh-medialorbitofrontal;Right-Caudate;354;14.985708
153;504;rh.precentral_32;Right-Putamen;10;37;ctx-rh-precentral;Right-Putamen;301;36.679993
129;504;rh.caudalmiddlefrontal_1;Right-Putamen;9;37;ctx-rh-caudalmiddlefrontal;Right-Putamen;327;26.385718
129;131;rh.caudalmiddlefrontal_1;rh.caudalmiddlefrontal_6;9;9;ctx-rh-caudalmiddlefrontal;ctx-rh-caudalmiddlefrontal;343;13.933332
548;553;lh.parsopercularis_6;lh.parsopercularis_4;47;47;ctx-lh-parsopercularis;ctx-lh-parsopercularis;321;12.949993
495;504;rh.insula_1;Right-Putamen;34;37;ctx-rh-insula;Right-Putamen;411;15.655553
966;1013;lh.superiortemporal_18;Left-Hippocampus;73;81;ctx-lh-superiortemporal;Left-Hippocampus;366;21.889612
